"","2016","2017","2018","2019","2021","2022"
"Estimate",-0.0084407,-0.019028,-0.0067385,-0.0049007,0.011529,0.017885
"AI_SE",0.00070634,0.00054776,0.00031008,0.00037962,0.00081308,0.00077222
"T_stat",-11.95,-34.737,-21.731,-12.909,14.18,23.161
"p_val",< 2.22e-16,< 2.22e-16,< 2.22e-16,< 2.22e-16,< 2.22e-16,< 2.22e-16
"Original_obs",192497,192896,193248,176732,192735,191855
"Original_treated_obs",1138,2536,4469,2909,2155,2170
"Matched_obs",1138,2535,4469,2909,2155,2170
"Matched_obs_unweighted",1510,2895,4989,3309,2429,2578
"Caliper_SDs",c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5)
"Obs_dropped",0,1,0,0,0,0
