"","2016","2017","2018","2019","2021","2022"
"Estimate",-0.0084676,-0.018871,-0.0067385,-0.004831,0.012076,0.018287
"AI_SE",0.00069636,0.00050682,0.0002838,0.00037962,0.00078956,0.00074432
"T_stat",-12.16,-37.234,-23.178,-13.618,15.294,24.569
"p_val",< 2.22e-16,< 2.22e-16,< 2.22e-16,< 2.22e-16,< 2.22e-16,< 2.22e-16
"Original_obs",192497,192896,193248,176732,192735,191855
"Original_treated_obs",1138,2536,4469,2909,2155,2170
"Matched_obs",1138,2535,4469,2909,2155,2170
"Matched_obs_unweighted",1138,2535,4469,2909,2155,2170
"Caliper_SDs",c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5),c(0.5, 0.5, 0.5)
"Obs_dropped",0,1,0,0,0,0
